Date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,No of Investors
12/07/2017,INNOVITI,TECHNOLOGY,DIGITAL PAYMENTS SOLUTIONS,BENGALURU,"SBIFMO FUND, BESSEMER VENTURE PARTNERS, CATAMARAN VENTURES",PRIVATE EQUITY,18500000,3
11/07/2017,FABOGO,CONSUMER INTERNET,SALON AND SPA AGGREGATION AND DISCOVERY PLATFORM,PUNE,DUNAMIS VENTURES PTE LTD.,PRIVATE EQUITY,2250000,1
11/07/2017,FLICKSTREE,CONSUMER INTERNET,VIDEO CONTENT DISCOVERY PLATFORM,MUMBAI,"VENTURE CATALYSTS, SOURAV GANGULY, ANKIT ADITYA, MOKSH SPORTS VENTURES",SEED FUNDING,464000,4
10/07/2017,AUTOROX.CO,TECHNOLOGY,WORKSHOP MANAGEMENT SOFTWARE PLATFORM,HYDERABAD,"MITSUI AND CO., NEW ENTERPRISE ASSOCIATES, CANAAN PARTNERS, SILICON VALLEY BANK",PRIVATE EQUITY,3000000,4
07/07/2017,CLIP APP,CONSUMER INTERNET,DIGITAL MEDIA VIDEO PLATFORM,BENGALURU,"INDIA QUOTIENT, SHUNWEI CAPITAL",SEED FUNDING,1000000,2
05/07/2017,JUMBOTAIL,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MARKETPLACE FOR FOOD AND GROCERY,BENGALURU,"KALAARI CAPITAL, NEXUS INDIA CAPITAL ADVISORS",PRIVATE EQUITY,8500000,2
05/07/2017,MOGLIX,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,B2B MARKETPLACE FOR INDUSTRIAL PRODUCTS,NOIDA,"INTERNATIONAL FINANCE CORPORATION, ROCKETSHIP, ACCEL PARTNERS, JUNGLE VENTURES, SHAILESH RAO, VENTURE HIGHWAY",PRIVATE EQUITY,12000000,6
05/07/2017,TIMESAVERZ,CONSUMER INTERNET,HYPERLOCAL HOME SERVICES PROVIDER,MUMBAI,BCCL,PRIVATE EQUITY,1000000,1
04/07/2017,DROOM.IN,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MARKETPLACE FOR AUTOMOBILES,GURUGRAM,"ASSET MANAGEMENT (ASIA) LTD, DIGITAL GARAGE INC",PRIVATE EQUITY,20000000,2
03/07/2017,ECOLIBRIUMENERGY,TECHNOLOGY,ENERGY MANAGEMENT SOLUTIONS PROVIDER,AHMEDABAD,"INFUSE VENTURES, JLL",PRIVATE EQUITY,2600000,2
01/07/2017,BILLION LOANS,CONSUMER INTERNET,PEER TO PEER LENDING PLATFORM,BENGALURU,RELIANCE CORPORATE ADVISORY SERVICES LTD,SEED FUNDING,1000000,1
30/06/2017,TAGOS DESIGN,TECHNOLOGY,INVIDEO DISCOVERY PLATFORM,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,PRIVATE EQUITY,5000000,1
30/06/2017,URBANCLAP TECHNOLOGIES PVT. LTD,CONSUMER INTERNET,MOBILE SERVICES MARKETPLACE,GURUGRAM,"VY CAPITAL, SAIF PARTNERS, ACCEL PARTNER, BESSEMER VENTURE PARTNERS",PRIVATE EQUITY,21000000,4
29/06/2017,FITPASS,CONSUMER INTERNET,ONLINE FITNESS MARKETPLACE,NEW DELHI,"ABHINAV BINDRA, GAURAV MARYA",PRIVATE EQUITY,1000000,2
28/06/2017,RUBIQUE,CONSUMER INTERNET,ONLINE MARKETPLACE FOR FINANCIAL PRODUCTS,MUMBAI,"KALAARI CAPITAL, UDAYAN GOYAL",PRIVATE EQUITY,3000000,2
28/06/2017,NIKI.AI,CONSUMER INTERNET,AI BASED PERSONAL ASSISTANT,BENGALURU,"SAP.IO, UNILAZER VENTURES",PRIVATE EQUITY,2000000,2
27/06/2017,STASHFIN,CONSUMER INTERNET,PERSONAL FINANCE APP,NEW DELHI,"SNOW LEOPARD VENTURES, ALTO PARTNERS",PRIVATE EQUITY,5000000,2
27/06/2017,SPARES HUB,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,AUTOMOBILE PARTS MARKETPLACE,PUNE,"THE CHENNAI ANGELS, ANTHILL SCALE VENTURES, ESVEE TECHNOLOGIES INC, INC95 CONSULTING",SEED FUNDING,311000,4
26/06/2017,HUG INNOVATIONS,TECHNOLOGY,GESTURE BASED SMARTWATCH MANUFACTURER,HYDERABAD,"MOHIT SRIVASTAV, KISHORE GANJI, VENKAT VALLABHANENI, RAJEEV MENON",PRIVATE EQUITY,5000000,4
26/06/2017,FLIPKART ,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MARKETPLACE FOR MULTIBRAND BEAUTY COSMETIC AND WELLNESS PRODUCTS,BENGALURU,NASPERS,PRIVATE EQUITY,71000000,1
26/06/2017,V RESORTS,CONSUMER INTERNET,HOLIDAY AND VACATION RESORT AGGREGATOR,NOIDA,"SEEDFUND, RB INTERNATIONAL",PRIVATE EQUITY,4000000,2
23/06/2017,LOANTAP,CONSUMER INTERNET,LENDING PLATFORM FOR SALARIED PROFESSIONALS,MUMBAI,"KAE CAPITAL, INDIA QUOTIENT, IFMR, AND MAS FINANCIAL SERVICES LTD",PRIVATE EQUITY,4000000,4
23/06/2017,VOXWEB,CONSUMER INTERNET,MOBILE BASED SOCIAL NETWORKING PLATFORM,MUMBAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
22/06/2017,JULIA COMPUTING,TECHNOLOGY,OPEN SOURCE LANGUAGE FOR DATA SCIENCE AND MACHINE LEARNING,BENGALURU,"GENERAL CATALYST, FOUNDER COLLECTIVE",PRIVATE EQUITY,4600000,2
22/06/2017,KISSHT,CONSUMER INTERNET,CONSUMER LENDING PLATFORM,MUMBAI,"ENDIYA PARTNERS, VENTUREAST",PRIVATE EQUITY,2000000,2
22/06/2017,EXPLORE LIFE TRAVELING,CONSUMER INTERNET,LOCAL HOMES BOOKING PLATFORM,BENGALURU,"MEKIN MAHESHWARI, BHARAT VIJAY, KRISH SESHADRI, AMAR ARSIKERE",SEED FUNDING,500000,4
21/06/2017,FYND,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,FASHION ETAILER,MUMBAI,"IIFL SEED VENTURES, KAE CAPITAL, FJ LABS, SINGULARITY VENTURES, GROWX, TRACXN LABS, AXIS CAPITAL",PRIVATE EQUITY,2400000,7
21/06/2017,GROW FIT,CONSUMER INTERNET,HEALTHTECH PLATFORM,BENGALURU,"MANIPAL EDUCATION AND MEDICAL GROUP (MEMG), SAR GROUP, THE GROVER TRUST",PRIVATE EQUITY,4500000,3
21/06/2017,FABULYST,TECHNOLOGY,ARTIFICIAL INTELLIGENCE BASED PLATFORM,HYDERABAD,IBHUBS,SEED FUNDING,215000,1
21/06/2017,MSWIPE,TECHNOLOGY,POINTOFSALE SERVICES,MUMBAI,"UCRNT FUND, MATRIX PARTNERS, ALCON EDGE CAPITAL, DSG CONSUMER PARTNERS",PRIVATE EQUITY,31000000,4
20/06/2017,FOREVERSHOP,CONSUMER INTERNET,MOBILE BASED ECOMMERCE PLATFORM,BENGALURU,91MAKER.COM,SEED FUNDING,300000,1
20/06/2017,INSIDER.IN,CONSUMER INTERNET,EVENTS TICKETING PLATFORM,MUMBAI,"PAYTM, SAIF PARTNERS, TIGER GLOBAL MANAGEMENT AND OTHERS",PRIVATE EQUITY,5200000,3
19/06/2017,UNBXD,TECHNOLOGY,CLOUDBASED PRODUCT DISCOVERY PLATFORM,BENGALURU,EIGHT ROADS VENTURES INDIA,PRIVATE EQUITY,12500000,1
19/06/2017,DARWINBOX,TECHNOLOGY,ENTERPRISE HUMAN RESOURCES MANAGEMENT PLATFORM,HYDERABAD,"LIGHTSPEED INDIA PARTNERS, ENDIYA PARTNERS, 3ONE4 CAPITAL ADVISORS LLP, STARTUPXSEED VENTURES LLP",PRIVATE EQUITY,4000000,4
16/06/2017,GOODBOX,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,MOBILE SAAS ECOMMERCE PLATFORM FOR SMES,BENGALURU,"NEXUS VENTURE PARTNERS, MEKIN MAHESHWARI",PRIVATE EQUITY,1000000,2
16/06/2017,FINCASH,CONSUMER INTERNET,PERSONAL FINANCE PLATFORM,MUMBAI,"MOHAMMED KHAN, SAMEER NARAYAN AND OTHERS",SEED FUNDING,100000,2
16/06/2017,PORTDESK,TECHNOLOGY,MARITIME SOLUTIONS,NOIDA,ALPHARD MARITIME GROUP,SEED FUNDING,2000000,1
15/06/2017,MONEYTAP,CONSUMER INTERNET,MONEY LENDING PLATFORM,BENGALURU,"SEQUOIA INDIA, NEA, PRIME VENTURE PARTNERS",PRIVATE EQUITY,12300000,3
14/06/2017,OLA CABS,CONSUMER INTERNET,CAB AGGREGATION APP,BENGALURU,TEKNE CAPITAL MANAGEMENT LLC,PRIVATE EQUITY,50000000,1
14/06/2017,MRNEEDS,CONSUMER INTERNET,MICRO FOOD DELIVERY PLATFORM,NOIDA,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,500000,1
13/06/2017,GOODERA,TECHNOLOGY,CSR AND SUSTAINABILITY MANAGEMENT PLATFORM,BENGALURU,"NEXUS VENTURE PARTNERS, OMIDYAR NETWORK AND SHUNWEI CAPITAL",PRIVATE EQUITY,5500000,2
12/06/2017,LENDINGKART,CONSUMER INTERNET,ONLINE LENDING PLATFORM FOR SALARIED PROFESSIONALS,AHMEDABAD,YES BANK,DEBT FUNDING,7800000,1
12/06/2017,BOXX.AI,TECHNOLOGY,ARTIFICIAL INTELLIGENCEBASED SALES ACCELERATION SOFTWARE PLATFORM,BENGALURU,"UNICORN INDIA VENTURES, VENKY KRISHNAKUMAR, SURESH SHANKAR, VIVEK BHARGAVA",PRIVATE EQUITY,500000,4
12/06/2017,PEESAFE.IN,HEALTHCARE SERVICES DISCOVERY PLATFORM,HYGIENE CARE PRODUCT MANUFACTURER,NEW DELHI,"VENTURE CATALYSTS, ALFA CAPITAL, GREEN SHOTS CAPITAL, REAL TIME VENTURES",PRIVATE EQUITY,1000000,4
12/06/2017,VISTA ROOMS,CONSUMER INTERNET,ONLINE ROOMS AGGREGATION PLATFORM,MUMBAI,"ARTHA INDIA VENTURES, SINGULARITY HOLDINGS, RAJAN ANANDAN, GIRISH MATHRUBOOTHAM",SEED FUNDING,776000,4
12/06/2017,COVERFOX,CONSUMER INTERNET,ONLINE INSURANCE BROKERAGE PLATFORM,MUMBAI,TRANSAMERICA,PRIVATE EQUITY,15000000,1
09/06/2017,GUIDOO,CONSUMER INTERNET,TRAVEL AND ADVENTURE PLANNING PLATFORM,MUMBAI,"PAWAN BORLE, NIRMAL SINGH, MANISH PRASAD, VINEET VARMA, NICK HAULKOURY, ABHAI S. RAO",SEED FUNDING,300000,6
09/06/2017,ESAHAI.IN,CONSUMER INTERNET,AMBULANCE AGGREGATOR AND MEDICAL TAXI PROVIDER,HYDERABAD,"DR RAMESH AYYALA, SATYA MUTHYALA",SEED FUNDING,250000,2
08/06/2017,STRATFIT,CONSUMER INTERNET,HEALTH COACHING PROGRAMS,HYDERABAD,BODHTREE CONSULTING LIMITED,SEED FUNDING,232000,1
08/06/2017,MULTIPLIER SOLUTIONS,TECHNOLOGY,CRM SOFTWARE FOR HEALTHCARE SPACE,HYDERABAD,"NORWEST VENTURE PARTNERS, NEXUS VENTURE PARTNERS, HELION VENTURE PARTNERS, DRAPER FISHER JURVETSON, PEEPUL CAPITAL",PRIVATE EQUITY,1500000,5
08/06/2017,ABI HEALTH,TECHNOLOGY,UNIFIED DIGITAL HEALTH PLATFORM,BENGALURU,"NORWEST VENTURE PARTNERS, NEXUS VENTURE PARTNERS, HELION VENTURE PARTNERS, DRAPER FISHER JURVETSON, PEEPUL CAPITAL",PRIVATE EQUITY,1500000,5
08/06/2017,STOCKAL,CONSUMER INTERNET,APPBASED INVESTMENT ADVISORY SERVICES,BENGALURU,"MOHAN ALEXANDER, R. NATARAJAN, VIKRANT VARSHNEY, AMIT SINHA",SEED FUNDING,350000,4
07/06/2017,ZIPLOAN,CONSUMER INTERNET,ONLINE LENDING PLATFORM FOR SALARIED PROFESSIONALS,NEW DELHI,WATERBRIDGE VENTURES,SEED FUNDING,650000,1
07/06/2017,GROWFITTER,CONSUMER INTERNET,HEALTH AND FITNESS DISCOVERY PLATFORM,MUMBAI,"SQUE CAPITAL, GRACE CAPITAL VENTURES, SOHAM VENCAPS",SEED FUNDING,600000,3
06/06/2017,SPINNY,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE USED CAR MARKETPLACE,GURUGRAM,"BLUME VENTURES, INDIAN ANGEL NETWORK, KUNAL SHAH, SANDEEP TANDON",PRIVATE EQUITY,1000000,4
06/06/2017,BHIVE WORKSPACE,CONSUMER INTERNET,COWORKING SPACES BOOKING PLATFORM,BENGALURU,"BLUME VENTURES, CONTRARIAN CAPITAL, 91SPRINGBOARD, EMERGENT VENTURES, ABSTRACT VENTURES, ANTHILL VENTURES, AXILOR VENTURES",PRIVATE EQUITY,1200000,7
06/06/2017,WAYFORWARD,CONSUMER INTERNET,MOBILE APP FOR MENTAL HEALTH,NEW DELHI,"HARSH MAHAJAN, FARHAN NAQVI, SREEPATHY VISWANATHAN",SEED FUNDING,1000000,3
05/06/2017,GOOMO,CONSUMER INTERNET,ONLINE TRAVEL AND HOLIDAY BOOKING PLATFORM,MUMBAI,EMERGING INDIA,PRIVATE EQUITY,50000000,1
02/06/2017,RENTONGO,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,"ONLINE MARKETPLACE FOR RENTING BIKES, ELECTRONICS AND APPLIANCES",BENGALURU,TVS MOTOR COMPANY,SEED FUNDING,234000,1
31/05/2017,SASTASUNDAR,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE PHARMACY AND HEALTH MARKETPLACE,KOLKATA,ROHTO PHARMACEUTICAL,PRIVATE EQUITY,5000000,1
31/05/2017,MAGICPIN,CONSUMER INTERNET,HYPERLOCAL DISCOVERY AND REWARDS PLATFORM,GURUGRAM,"LIGHTSPEED INDIA PARTNERS, WATERBRIDGE VENTURES",PRIVATE EQUITY,7000000,2
30/05/2017,SUPR DAILY,CONSUMER INTERNET,SUBSCRIPTION BASED DELIVERY PLATFORM,MUMBAI,"SOMA CAPITAL, GREAT OAKS VENTURES, 122 WEST VENTURES",PRIVATE EQUITY,1500000,3
30/05/2017,SWIGGY,CONSUMER INTERNET,ONLINE FOOD DELIVERY PLATFORM,BENGALURU,"NASPER, ACCEL INDIA, SAIF PARTNERS, BESSEMER VENTURE PARTNERS, HARMONY PARTNERS, NORWEST VENTURE PARTNERS",PRIVATE EQUITY,80000000,6
29/05/2017,COLLATERAL MEDICAL,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MEDICAL EQUIPMENT SUPPLIER,MUMBAI,CARPEDIEM CAPITAL AND OTHERS,PRIVATE EQUITY,3500000,1
25/05/2017,AYE FINANCE,FINANCE,NONBANKING FINANCIAL COMPANY,GURUGRAM,BLUE ORCHARD,PRIVATE EQUITY,8000000,1
24/05/2017,GENNEXT STUDENTS,CONSUMER INTERNET,ONLINE TUTORING SERVICES,MUMBAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,580000,1
23/05/2017,MAGICPIN,CONSUMER INTERNET,HYPERLOCAL DISCOVERY PLATFORM,GURUGRAM,"LIGHTSPEED VENTURE PARTNERS, VY CAPITAL,",PRIVATE EQUITY,6600000,3
23/05/2017,BOX8,CONSUMER INTERNET,FOOD DELIVERY PLATFORM,MUMBAI,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",PRIVATE EQUITY,1000000,6
22/05/2017,DELHIVERY,LOGISTICS SERVICE PROVIDER MARKETPLACE,ECOMMERCE LOGISTICS PROVIDER,NEW DELHI,FOSUN INTERNATIONAL,PRIVATE EQUITY,30000000,1
22/05/2017,ZIPGRID,CONSUMER INTERNET,"CASHLESS, PAPERLESS SOLUTIONS FOR HOUSING SOCIETIES",MUMBAI,"JLL, 1CROWD",SEED FUNDING,500000,2
19/05/2017,EZCRED,CONSUMER INTERNET,CONSUMER LENDING PLATFORM,BENGALURU,"DHEERAJ PANDEY, RAJESH YOHANNAN, AKASH GARG",SEED FUNDING,1000000,3
18/05/2017,THE GOOD LIFE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE LUXURY TEA ETAILER,MUMBAI,"AYESHA TAKIA AZMI, ABU FARHAN AZMI",SEED FUNDING,1000000,2
18/05/2017,PAYTM MARKETPLACE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,MOBILE WALLET AND ECOMMERCE PLATFORM,BENGALURU,"SOFTBANK GROUP, SEQUOIA CAPITAL INDIA, LIGHTSPEED VENTURE PARTNERS, GREENOAKS CAPITAL, HERO ENTERPRISE",PRIVATE EQUITY,1400000000,5
17/05/2017,GENIE,CONSUMER INTERNET,HYPERLOCAL DELIVERY AND LOGISTICS MOBILE APP,CHENNAI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,250000,1
17/05/2017,PAYSENSE,CONSUMER INTERNET,ONLINE LENDING PLATFORM FOR SALARIED PROFESSIONALS,MUMBAI,"JUNGLE VENTURES, TAURUS VALUE CREATION, KONLY VENTURE, BLUME VENTURES",PRIVATE EQUITY,5300000,4
16/05/2017,TELR,TECHNOLOGY,ONLINE PAYMENT GATEWAY,MUMBAI,INNOVATIONS EAST,PRIVATE EQUITY,3000000,1
16/05/2017,FYND,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,FASHION ECOMMERCE PORTAL,MUMBAI,ROCKETSHIP,PRIVATE EQUITY,500000,1
15/05/2017,ZAPTY,TECHNOLOGY,PROJECT MANAGEMENT TOOL,BENGALURU,IDEASPRING CAPITAL,SEED FUNDING,500000,1
12/05/2017,LEGAL RAASTA,CONSUMER INTERNET,LEGAL SERVICES TO SMES AND INDIVIDUALS,NEW DELHI,IMPANIX CAPITAL,PRIVATE EQUITY,5000000,1
12/05/2017,REMIT GURU,CONSUMER INTERNET,DIGITAL MONEY TRANSFER PLATFORM,MUMBAI,"INFIBEAM, CCAVENUE",PRIVATE EQUITY,466000,2
12/05/2017,AEQUM,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,CLOUD ECOMMERCE PLATFORM,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
11/05/2017,EARLY SALARY,CONSUMER INTERNET,ONLINE LENDING PLATFORM FOR SALARIED PROFESSIONALS,PUNE,"DG VENTURES INDIA, DEWAN HOUSING FINANCE CORP",PRIVATE EQUITY,4000000,2
10/05/2017,VIDOOLY,CONSUMER INTERNET,VIDEO INTELLIGENCE PLATFORM,NOIDA,"TIMES INTERNET, GVFL",PRIVATE EQUITY,1400000,2
10/05/2017,SHOPCLUES,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE MARKETPLACE FOR MULTIBRAND BEAUTY COSMETIC AND WELLNESS PRODUCTS,GURUGRAM,INNOVEN CAPITAL INDIA,PRIVATE EQUITY,7700000,1
10/05/2017,FOURTH AMBIT,CONSUMER INTERNET,COMMUNITY BUILDING PLATFORM,BENGALURU,"1CROWD, EUREKA FORBES LTD, SHAPOORJI PALLONJI AND CO. LTD.",SEED FUNDING,600000,3
09/05/2017,CURIE LABS,TECHNOLOGY,ENERGY ANALYTICS STARTUP,NEW DELHI,SATOSHI STUDIOS,SEED FUNDING,50000,1
08/05/2017,YEPME,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,PRIVATE LABEL FASHION ETAILER,GURUGRAM,"RAINBOW DIGITAL SERVICES PVT. LTD, ILEARNFINANCE ACADEMY PVT. LTD.",PRIVATE EQUITY,700000,2
08/05/2017,MYGREENS,FOOD AND BEVERAGES,COLDPRESS JUICES MANUFACTURER,NEW DELHI,"AJAY RELAN, LETSVENTURE",SEED FUNDING,1000000,2
08/05/2017,ACE TURTLE,TECHNOLOGY,OMNICHANNEL PLATFORM,BENGALURU,"VERTEX VENTURES, C31 VENTURES",PRIVATE EQUITY,5000000,2
08/05/2017,CUREFIT,TECHNOLOGY,HEALTHTECH PLATFORM,BENGALURU,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",PRIVATE EQUITY,3200000,6
05/05/2017,BALANCE APP,CONSUMER INTERNET,MONEY SAVINGS AND MANAGEMENT APP,BENGALURU,RAINMATTER,SEED FUNDING,233000,1
03/05/2017,OLA CABS,CONSUMER INTERNET,CAB AGGREGATION APP,BENGALURU,"FALCON EDGE CAPITAL, CAPITAL ADVISERS",PRIVATE EQUITY,104500000,2
03/05/2017,SUMERU,TECHNOLOGY,SOFTWARE AND MOBILE DEVELOPMENT SERVICES,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,1000000,1
02/05/2017,INNOVAPPTIVE,TECHNOLOGY,ENTERPRISE MOBILITY SOLUTIONS,HYDERABAD,"HYDERABAD ANGELS, SINGAPORE ANGEL NETWORK, NESS WADIA",SEED FUNDING,1500000,3
02/05/2017,4TIGO,LOGISTICS SERVICE PROVIDER MARKETPLACE,TRUCK NETWORK COMPANY,BENGALURU,"ACCEL PARTNERS, NANDAN NILEKANI,",PRIVATE EQUITY,10000000,3
02/05/2017,ZIPPSERVE,CONSUMER INTERNET,REAL ESTATE RISK ASSESSMENT PLATFORM,BENGALURU,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,390000,1
01/05/2017,ACE2THREE,CONSUMER INTERNET,ONLINE RUMMY PLAYING WEBSITE,HYDERABAD,CLAIRVEST GROUP,PRIVATE EQUITY,73700000,1
01/05/2017,POWER2SME,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,BUYING PORTAL FOR SMES,GURUGRAM,"INTERNATIONAL FINANCE CORPORATION (IFC), INVENTUS CAPITAL PARTNERS, ACCEL PARTNERS, KALAARI CAPITAL, AND NANDAN NILEKANI,",PRIVATE EQUITY,10000000,6
28/04/2017,SEPALIKA,CONSUMER INTERNET,HEALTHCARE RELATED CONTENT PLATFORM,NEW DELHI,"ACCEL PARTNERS, IDG VENTURE, ENDIYA PARTNERS, PI VENTURES, VH CAPITAL, AXILOR VENTURES AND BINNY BANSAL",SEED FUNDING,750000,6
27/04/2017,SCOOTSY,CONSUMER INTERNET,ONDEMAND FOOD DELIVERY,MUMBAI,"AGNUS CAPITAL, KHATTAR HOLDINGS",PRIVATE EQUITY,3600000,2
27/04/2017,INURTURE,CONSUMER INTERNET,ONLINE EDUCATIONAL COURSES,BENGALURU,BLACKSOIL CAPITAL PVT. LTD.,PRIVATE EQUITY,1500000,1
26/04/2017,AWFIS,CONSUMER INTERNET,COLLABORATIVE COWORKING SPACES,MUMBAI,"SEQUOIA INDIA, LIGHTSPEED VENTURE PARTNERS, NEXUS VENTURE PARTNERS, GLOBAL FOUNDERS CAPITAL, APOLETTO",PRIVATE EQUITY,20000000,5
26/04/2017,FLYTXT,TECHNOLOGY,CUSTOMER DATA ANALYTICS SOFTWARE,MUMBAI,DAH BETEILIGUNGS GMBH,PRIVATE EQUITY,11000000,1
26/04/2017,HOWDY VENTURES,CONSUMER INTERNET,PUBLIC AND PRIVATE EVENTS CREATION APP,CHENNAI,S. XAVIER BRITTO,SEED FUNDING,1500000,1
26/04/2017,STALKBUYLOVE,ECOMMERCE DISCOUNT AND CASHBACK COUPONS PLATFORM,ONLINE FASHION MARKETPLACE,NEW DELHI,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",PRIVATE EQUITY,1000000,6
25/04/2017,THE OFFICE PASS,CONSUMER INTERNET,COWORKING SPACES BOOKING PLATFORM,GURUGRAM,"ARUN TADANKI, ADITYA VERMA",SEED FUNDING,245000,2
25/04/2017,URBANCLAP TECHNOLOGIES PVT. LTD,CONSUMER INTERNET,MOBILE SERVICES MARKETPLACE,GURUGRAM,"TRIFECTA CAPITAL ADVISORS LLP, PRATHITHI INVESTMENT TRUST, RNT CAPITAL, GOKUL RAJARAM, ADITYA AGARWAL, RUCHI SANGHVI AND OTHERS",PRIVATE EQUITY,3100000,6
24/04/2017,FAASOS,FOOD AND BEVERAGES,QSR CHAIN AND ONLINE FOOD DELIVERY,PUNE,"LIGTHBOX VENTURES II, LIGHTBOX EXPANSION FUND, SEQUOIA CAPITAL INDIA, RUNET SOUTH ASIA, RB INVESTMENTS",PRIVATE EQUITY,6300000,5
24/04/2017,OYO ROOMS,CONSUMER INTERNET,BRANDED BUDGET HOTELS AGGREGATOR,GURUGRAM,"SOFTBANK VISION FUND, LIGHTSPEED VENTURE PARTNERS, SEQUOIA CAPITAL INDIA ADVISORS, GREENOAKS CAPITAL PARTNERS",PRIVATE EQUITY,250000000,4
24/04/2017,TOPPR ,CONSUMER INTERNET,LEARNING MOBILE APP FOR STUDENTS,MUMBAI,WGG INTERNATIONAL,PRIVATE EQUITY,3200000,1
21/04/2017,VIDEO KEN,CONSUMER INTERNET,VIDEO BASED COLLABORATIVE LEARNING,BENGALURU,"RAVI GARIKIPATI, SUROT CHATTERJEE, ASHISH AGRAWAL, LG CHANDRASEKHAR, SASHI REDDI",SEED FUNDING,1000000,5
20/04/2017,HOLACHEF,CONSUMER INTERNET,ONLINE FOOD DELIVERY PLATFORM,MUMBAI,"SIDBI VENTURE CAPITAL LTD, KALAARI CAPITAL",PRIVATE EQUITY,3000000,2
19/04/2017,IOTREK,TECHNOLOGY,IOT PLATFORM FOR BUS,NEW DELHI,UNDISCLOSED INVESTORS AND TAMARIND FAMILY PRIVATE TRUST,SEED FUNDING,155000,1
18/04/2017,INNEFU SECURITY CONSULTING,TECHNOLOGY,CYBER SECURITY SOLUTIONS USING AI,NEW DELHI,INDIANIVESH VENTURE CAPITAL FUND,PRIVATE EQUITY,2000000,1
18/04/2017,WHODAT,TECHNOLOGY,MARKERLESS AR PLATFORM,BENGALURU,IDEASPRING CAPITAL,PRIVATE EQUITY,600000,1
18/04/2017,ABSENTIA VR,TECHNOLOGY,VIRTUAL REALITY STARTUP,BENGALURU,"EXFINITY VENTURE PARTNERS, BLUME VENTURES, BEENEXT, RAJESH RANAVAT",PRIVATE EQUITY,1250000,4
17/04/2017,CREDIHEALTH,CONSUMER INTERNET,ONLINE MEDICAL ASSISTANCE PLATFORM,GURUGRAM,"TOLARAM INC, MOUNTAIN PINE CAPITAL",PRIVATE EQUITY,1500000,2
17/04/2017,SNACKIBLE,FOOD AND BEVERAGES,HEALTHY SNACKS MANUFACTURER,MUMBAI,"NIBHRANT SHAH, ANANDBIR SINGH, ANIRUDH SHETH, PRATIK SINGHI, VIKRAM MEHTA, MURALI NAIR",SEED FUNDING,175000,6
17/04/2017,BE U SALONS,CONSUMER INTERNET,ONLINE SALON DISCOVERY AND BOOKING SERVICES,NEW DELHI,"GAURAV KACHRU, SUNDEEP SINGH SAHNI, JATIN ANEJA, ARUN MALHOTRA",SEED FUNDING,620000,4
